time,I_L2
2.0280000000e-03,1.7714116777e+02
2.0320000000e-03,1.7720470576e+02
2.0360000000e-03,1.7787815240e+02
2.0400000000e-03,1.7919518018e+02
2.0440000000e-03,1.8095672834e+02
2.0480000000e-03,1.8291478635e+02
2.0520000000e-03,1.8482989288e+02
2.0560000000e-03,1.8647208806e+02
2.0600000000e-03,1.8762445645e+02
2.0640000000e-03,1.8811831718e+02
2.0680000000e-03,1.8796429556e+02
2.0720000000e-03,1.8736866050e+02
2.0760000000e-03,1.8652790469e+02
2.0800000000e-03,1.8563485785e+02
2.0840000000e-03,1.8490001820e+02
2.0880000000e-03,1.8460648844e+02
2.0920000000e-03,1.8488762692e+02
2.0960000000e-03,1.8549690197e+02
2.1000000000e-03,1.8620872538e+02
2.1040000000e-03,1.8680408530e+02
2.1080000000e-03,1.8707400759e+02
2.1120000000e-03,1.8682272591e+02
2.1160000000e-03,1.8608066254e+02
2.1200000000e-03,1.8523707294e+02
2.1240000000e-03,1.8455387744e+02
2.1280000000e-03,1.8419798749e+02
2.1320000000e-03,1.8432813049e+02
2.1360000000e-03,1.8508839553e+02
2.1400000000e-03,1.8650693050e+02
2.1440000000e-03,1.8838307491e+02
2.1480000000e-03,1.9045774685e+02
2.1520000000e-03,1.9248123308e+02
2.1560000000e-03,1.9421385645e+02
2.1600000000e-03,1.9542966391e+02
2.1640000000e-03,1.9595667088e+02
2.1680000000e-03,1.9580680386e+02
2.1720000000e-03,1.9517876834e+02
2.1760000000e-03,1.9426283965e+02
2.1800000000e-03,1.9324660470e+02
2.1840000000e-03,1.9235863923e+02
2.1880000000e-03,1.9192772175e+02
2.1920000000e-03,1.9209665704e+02
2.1960000000e-03,1.9261089314e+02
2.2000000000e-03,1.9323770671e+02
2.2040000000e-03,1.9375106751e+02
2.2080000000e-03,1.9393521388e+02
2.2120000000e-03,1.9358792907e+02
2.2160000000e-03,1.9274265814e+02
2.2200000000e-03,1.9182151254e+02
2.2240000000e-03,1.9111861960e+02
2.2280000000e-03,1.9078904663e+02
2.2320000000e-03,1.9098131525e+02
2.2360000000e-03,1.9182909908e+02
2.2400000000e-03,1.9335462323e+02
2.2440000000e-03,1.9535483706e+02
2.2480000000e-03,1.9755952769e+02
2.2520000000e-03,1.9970857041e+02
2.2560000000e-03,2.0155235291e+02
2.2600000000e-03,2.0285561390e+02
2.2640000000e-03,2.0344234201e+02
2.2680000000e-03,2.0332469836e+02
2.2720000000e-03,2.0269354121e+02
2.2760000000e-03,2.0173259848e+02
2.2800000000e-03,2.0062388067e+02
2.2840000000e-03,1.9961396610e+02
2.2880000000e-03,1.9907662116e+02
2.2920000000e-03,1.9916229945e+02
2.2960000000e-03,1.9960829173e+02
2.3000000000e-03,2.0017457250e+02
2.3040000000e-03,2.0062797070e+02
2.3080000000e-03,2.0074585977e+02
2.3120000000e-03,2.0031954002e+02
2.3160000000e-03,1.9938466887e+02
2.3200000000e-03,1.9839506470e+02
2.3240000000e-03,1.9767777484e+02
2.3280000000e-03,1.9737625796e+02
2.3320000000e-03,1.9762913737e+02
2.3360000000e-03,1.9856002214e+02
2.3400000000e-03,2.0018519104e+02
2.3440000000e-03,2.0229890060e+02
2.3480000000e-03,2.0462034813e+02
2.3520000000e-03,2.0687952874e+02
2.3560000000e-03,2.0881744348e+02
2.3600000000e-03,2.1019007878e+02
2.3640000000e-03,2.1081753934e+02
2.3680000000e-03,2.1071204483e+02
2.3720000000e-03,2.1005723341e+02
2.3760000000e-03,2.0903086219e+02
2.3800000000e-03,2.0780991918e+02
2.3840000000e-03,2.0665974221e+02
2.3880000000e-03,2.0599915718e+02
2.3920000000e-03,2.0598520789e+02
2.3960000000e-03,2.0634757723e+02
2.4000000000e-03,2.0683937896e+02
2.4040000000e-03,2.0722070243e+02
2.4080000000e-03,2.0726241201e+02
2.4120000000e-03,2.0674963092e+02
2.4160000000e-03,2.0571965180e+02
2.4200000000e-03,2.0465695796e+02
2.4240000000e-03,2.0392223932e+02
2.4280000000e-03,2.0364754186e+02
2.4320000000e-03,2.0396176720e+02
2.4360000000e-03,2.0497859669e+02
2.4400000000e-03,2.0670804386e+02
2.4440000000e-03,2.0894100197e+02
2.4480000000e-03,2.1138619926e+02
2.4520000000e-03,2.1376380965e+02
2.4560000000e-03,2.1580548212e+02
2.4600000000e-03,2.1725846125e+02
2.4640000000e-03,2.1793853985e+02
2.4680000000e-03,2.1785723532e+02
2.4720000000e-03,2.1719101538e+02
2.4760000000e-03,2.1611167432e+02
2.4800000000e-03,2.1479118124e+02
2.4840000000e-03,2.1351384471e+02
2.4880000000e-03,2.1274308602e+02
2.4920000000e-03,2.1264102569e+02
2.4960000000e-03,2.1292989634e+02
2.5000000000e-03,2.1335605381e+02
2.5040000000e-03,2.1367296841e+02
2.5080000000e-03,2.1364513090e+02
2.5120000000e-03,2.1305163519e+02
2.5160000000e-03,2.1193072905e+02
2.5200000000e-03,2.1079450720e+02
2.5240000000e-03,2.1003656000e+02
2.5280000000e-03,2.0978170190e+02
2.5320000000e-03,2.1014932970e+02
2.5360000000e-03,2.1124359112e+02
2.5400000000e-03,2.1306820519e+02
2.5440000000e-03,2.1541034839e+02
2.5480000000e-03,2.1796874807e+02
2.5520000000e-03,2.2045417994e+02
2.5560000000e-03,2.2258934952e+02
2.5600000000e-03,2.2411314745e+02
2.5640000000e-03,2.2483699751e+02
2.5680000000e-03,2.2477131269e+02
2.5720000000e-03,2.2408579100e+02
2.5760000000e-03,2.2294660207e+02
2.5800000000e-03,2.2152294734e+02
2.5840000000e-03,2.2012002397e+02
2.5880000000e-03,2.1924168666e+02
2.5920000000e-03,2.1905392380e+02
2.5960000000e-03,2.1927178893e+02
2.6000000000e-03,2.1963506693e+02
2.6040000000e-03,2.1989078427e+02
2.6080000000e-03,2.1979721920e+02
2.6120000000e-03,2.1912758094e+02
2.6160000000e-03,2.1792035524e+02
2.6200000000e-03,2.1669263908e+02
2.6240000000e-03,2.1585549450e+02
2.6280000000e-03,2.1556960506e+02
2.6320000000e-03,2.1594391136e+02
2.6360000000e-03,2.1707390236e+02
2.6400000000e-03,2.1895733978e+02
2.6440000000e-03,2.2137758011e+02
2.6480000000e-03,2.2402396095e+02
2.6520000000e-03,2.2659831324e+02
2.6560000000e-03,2.2881472947e+02
2.6600000000e-03,2.3040395238e+02
2.6640000000e-03,2.3117269763e+02
2.6680000000e-03,2.3112949865e+02
2.6720000000e-03,2.3043723835e+02
2.6760000000e-03,2.2925628465e+02
2.6800000000e-03,2.2777421405e+02
2.6840000000e-03,2.2633295537e+02
2.6880000000e-03,2.2543291967e+02
2.6920000000e-03,2.2524312572e+02
2.6960000000e-03,2.2547042768e+02
2.7000000000e-03,2.2584703556e+02
2.7040000000e-03,2.2611263435e+02
2.7080000000e-03,2.2601850980e+02
2.7120000000e-03,2.2533133306e+02
2.7160000000e-03,2.2408845857e+02
2.7200000000e-03,2.2281011800e+02
2.7240000000e-03,2.2192496174e+02
2.7280000000e-03,2.2162985847e+02
2.7320000000e-03,2.2202348333e+02
2.7360000000e-03,2.2319301738e+02
2.7400000000e-03,2.2513032722e+02
2.7440000000e-03,2.2761481675e+02
2.7480000000e-03,2.3032726067e+02
2.7520000000e-03,2.3296144148e+02
2.7560000000e-03,2.3522382381e+02
2.7600000000e-03,2.3683805687e+02
2.7640000000e-03,2.3760682689e+02
2.7680000000e-03,2.3753717726e+02
2.7720000000e-03,2.3678642484e+02
2.7760000000e-03,2.3551035091e+02
2.7800000000e-03,2.3391624898e+02
2.7840000000e-03,2.3238419264e+02
2.7880000000e-03,2.3141137201e+02
